Sno,Customer_number,Insurance,housing,loan,contact,duration,campaign,last_contact_day,previous,poutcome,Term Deposit,Count_Txn,age,job,marital,education,Gender
70,1071,no,yes,yes,unknown,258.0,1,1,0,unknown,2.0,168.0,57,blue-collar,married,secondary,M
71,1072,no,yes,yes,unknown,172.0,1,1,0,unknown,2.0,370.0,31,services,married,secondary,F
72,1073,no,yes,yes,unknown,154.0,1,1,0,unknown,2.0,431.0,54,management,married,secondary,M
73,1074,no,yes,no,unknown,291.0,1,1,0,unknown,2.0,174.0,55,blue-collar,married,primary,M
74,1075,no,yes,no,unknown,181.0,1,1,0,unknown,2.0,473.0,43,technician,married,secondary,M
75,1076,no,yes,no,unknown,176.0,1,1,0,unknown,2.0,324.0,53,technician,married,secondary,M
76,1077,no,no,yes,unknown,211.0,1,1,0,unknown,2.0,393.0,44,blue-collar,married,secondary,M
77,1078,no,no,no,unknown,349.0,1,1,0,unknown,2.0,239.0,55,services,divorced,secondary,M
78,1079,no,yes,yes,unknown,272.0,1,1,0,unknown,2.0,126.0,49,services,divorced,secondary,M
79,1080,yes,yes,no,unknown,208.0,1,1,0,unknown,2.0,150.0,55,services,divorced,secondary,F
80,1081,no,yes,no,unknown,193.0,1,1,0,unknown,2.0,255.0,45,admin.,single,secondary,M
81,1082,no,no,no,unknown,212.0,1,1,0,unknown,2.0,175.0,47,services,divorced,secondary,F
82,1083,no,yes,no,unknown,20.0,1,1,0,unknown,2.0,316.0,42,technician,single,secondary,M
83,1084,no,yes,no,unknown,1042.0,1,1,0,unknown,1.0,141.0,59,admin.,,secondary,F
84,1085,no,yes,yes,unknown,246.0,1,1,0,unknown,2.0,176.0,46,self-employed,married,tertiary,M
85,1086,no,yes,no,unknown,529.0,2,1,0,unknown,2.0,263.0,51,blue-collar,married,primary,M
86,1087,no,no,no,unknown,1467.0,1,1,0,unknown,1.0,399.0,56,admin.,married,secondary,M
87,1088,no,yes,no,unknown,1389.0,1,1,0,unknown,1.0,468.0,41,technician,married,secondary,F
88,1089,no,yes,yes,unknown,188.0,2,1,0,unknown,2.0,340.0,46,management,divorced,secondary,F
89,1090,no,yes,no,unknown,180.0,2,1,0,unknown,2.0,466.0,57,retired,married,secondary,M
90,1091,no,no,no,unknown,48.0,1,1,0,unknown,2.0,258.0,42,management,single,secondary,F
91,1092,no,yes,yes,unknown,213.0,2,1,0,unknown,2.0,434.0,30,technician,married,secondary,M
92,1093,no,yes,no,unknown,583.0,1,1,0,unknown,2.0,356.0,60,admin.,married,secondary,M
93,1094,no,yes,no,unknown,221.0,1,1,0,unknown,2.0,391.0,60,blue-collar,married,unknown,M
94,1095,no,no,no,?,173.0,1,1,0,unknown,2.0,180.0,57,entrepreneur,divorced,secondary,F
95,1096,no,yes,yes,?,426.0,1,1,0,unknown,2.0,146.0,36,management,married,tertiary,F
96,1097,no,no,no,?,287.0,1,1,0,unknown,2.0,444.0,55,blue-collar,married,secondary,M
97,1098,no,yes,no,?,101.0,1,1,0,unknown,2.0,129.0,60,retired,married,tertiary,M
98,1099,no,yes,no,?,203.0,1,1,0,unknown,2.0,111.0,39,technician,married,secondary,M
99,1100,no,yes,no,?,197.0,1,1,0,unknown,2.0,341.0,46,management,married,tertiary,F
100,1101,no,yes,no,?,257.0,1,1,0,unknown,2.0,271.0,44,blue-collar,married,secondary,M
101,1102,no,no,no,?,124.0,1,1,0,unknown,2.0,270.0,53,blue-collar,married,Primary,F
102,1103,no,yes,no,?,229.0,1,1,0,unknown,2.0,195.0,52,blue-collar,married,Primary,F
103,1104,no,yes,no,?,55.0,3,1,0,unknown,2.0,492.0,59,blue-collar,married,Primary,M
104,1105,no,yes,no,?,400.0,1,1,0,unknown,2.0,388.0,27,technician,single,tertiary,F
105,1106,no,yes,no,?,197.0,1,1,0,unknown,2.0,419.0,44,blue-collar,married,secondary,M
106,1107,no,yes,no,?,190.0,1,1,0,unknown,2.0,248.0,47,technician,married,tertiary,M
107,1108,no,no,yes,unknown,21.0,1,1,0,unknown,2.0,335.0,34,admin.,married,secondary,F
108,1109,no,yes,no,unknown,514.0,1,1,0,unknown,2.0,481.0,59,retired,single,secondary,M
109,1110,no,yes,no,unknown,849.0,2,1,0,unknown,2.0,359.0,45,management,married,tertiary,M
110,1111,no,yes,no,unknown,194.0,1,1,0,unknown,2.0,202.0,29,services,divorced,secondary,F
111,1112,no,no,no,unknown,144.0,1,1,0,unknown,2.0,199.0,46,technician,divorced,secondary,F
112,1113,no,yes,yes,unknown,212.0,2,1,0,,2.0,309.0,56,self-employed,married,primary,M
113,1114,no,yes,no,unknown,286.0,1,1,0,unknown,2.0,331.0,36,blue-collar,married,primary,F
114,1115,no,yes,no,unknown,107.0,1,1,0,unknown,2.0,160.0,59,retired,divorced,primary,F
115,1116,no,yes,no,unknown,247.0,2,1,0,unknown,2.0,468.0,44,blue-collar,married,secondary,F
116,1117,no,yes,no,unknown,518.0,1,1,0,unknown,2.0,116.0,41,admin.,married,secondary,M
117,1118,no,yes,no,unknown,364.0,1,1,0,unknown,2.0,290.0,33,management,single,tertiary,F
118,1119,no,no,no,unknown,178.0,1,1,0,unknown,2.0,158.0,59,management,divorced,tertiary,F
119,1120,no,no,no,unknown,98.0,1,1,0,,2.0,446.0,57,technician,married,primary,F
120,1121,no,yes,no,unknown,439.0,1,1,0,unknown,2.0,211.0,56,technician,divorced,unknown,M
121,1122,no,yes,no,unknown,79.0,1,1,0,unknown,2.0,297.0,51,blue-collar,married,secondary,M
122,1123,no,yes,no,unknown,,3,1,0,unknown,2.0,144.0,34,admin.,married,unknown,F
123,1124,no,yes,yes,unknown,127.0,2,1,0,unknown,2.0,264.0,43,services,married,secondary,F
124,1125,no,no,yes,unknown,175.0,1,1,0,unknown,2.0,175.0,52,technician,married,tertiary,F
125,1126,no,yes,no,unknown,262.0,2,1,0,unknown,2.0,238.0,33,technician,single,secondary,F
126,1127,no,yes,yes,unknown,61.0,1,1,0,,2.0,301.0,29,admin.,single,secondary,M
127,1128,no,yes,yes,unknown,78.0,1,1,0,unknown,2.0,254.0,34,services,married,secondary,F
128,1129,no,yes,no,unknown,143.0,1,1,0,unknown,2.0,265.0,31,blue-collar,married,secondary,F
129,1130,no,yes,no,unknown,579.0,1,1,0,unknown,1.0,241.0,55,services,married,secondary,M
130,1131,no,no,no,unknown,677.0,1,1,0,unknown,2.0,165.0,55,management,married,unknown,F
131,1132,no,yes,no,unknown,345.0,1,1,0,unknown,2.0,315.0,32,admin.,single,secondary,M
132,1133,no,yes,no,unknown,185.0,1,1,0,unknown,2.0,429.0,38,technician,single,secondary,F
133,1134,no,yes,yes,unknown,100.0,2,1,0,unknown,2.0,413.0,55,admin.,single,secondary,F
134,1135,no,yes,no,unknown,125.0,2,1,0,unknown,2.0,425.0,28,unemployed,single,tertiary,F
135,1136,no,yes,no,unknown,193.0,1,1,0,unknown,2.0,452.0,23,blue-collar,married,secondary,M
136,1137,no,yes,no,unknown,136.0,1,1,0,unknown,2.0,299.0,32,technician,single,secondary,M
137,1138,no,no,no,unknown,73.0,1,1,0,unknown,2.0,347.0,43,services,single,unknown,M
138,1139,no,yes,no,unknown,528.0,1,1,0,unknown,2.0,194.0,32,blue-collar,married,secondary,M
139,1140,no,yes,no,unknown,541.0,1,1,0,unknown,2.0,295.0,46,blue-collar,married,secondary,M
140,1141,no,yes,no,unknown,163.0,1,1,0,unknown,2.0,192.0,53,housemaid,divorced,primary,M
141,1142,no,yes,no,unknown,301.0,1,1,0,unknown,2.0,472.0,34,self-employed,single,secondary,F
142,1143,no,no,no,unknown,46.0,1,1,0,unknown,2.0,329.0,57,unemployed,married,tertiary,F
143,1144,no,yes,no,unknown,204.0,1,1,0,unknown,2.0,-113.0,37,blue collar,married,secondary,M
144,1145,no,yes,no,unknown,98.0,1,1,0,unknown,2.0,268.0,59,blue-collar,married,secondary,F
145,1146,no,yes,no,unknown,71.0,1,1,0,unknown,2.0,153.0,33,services,married,secondary,F
146,1147,no,yes,no,unknown,157.0,2,1,0,unknown,2.0,128.0,56,blue-collar,divorced,primary,F
147,1148,no,yes,no,unknown,243.0,1,1,0,unknown,2.0,295.0,48,unemployed,married,secondary,F
148,1149,no,yes,no,unknown,186.0,2,1,0,????,2.0,436.0,43,services,married,primary,F
149,1150,no,yes,no,unknown,579.0,2,1,0,unknown,2.0,176.0,54,blue-collar,married,primary,F
150,1151,no,yes,no,unknown,163.0,2,1,0,unknown,2.0,319.0,51,blue-collar,married,unknown,M
151,1152,no,yes,no,unknown,610.0,2,1,0,unknown,2.0,144.0,26,student,single,secondary,F
152,1153,no,yes,no,unknown,2033.0,1,1,0,unknown,2.0,226.0,40,management,married,tertiary,F
153,1154,no,yes,no,unknown,85.0,1,1,0,unknown,2.0,310.0,39,management,married,secondary,M
154,1155,no,no,no,unknown,,2,1,0,unknown,2.0,495.0,50,technician,married,primary,F
155,1156,no,yes,no,unknown,114.0,2,1,0,unknown,2.0,392.0,41,services,married,secondary,F
156,1157,no,yes,no,unknown,57.0,1,1,0,unknown,2.0,281.0,51,blue-collar,married,unknown,M
157,1158,no,yes,no,unknown,238.0,1,1,0,unknown,2.0,143.0,60,retired,divorced,secondary,M
158,1159,no,yes,no,unknown,93.0,3,1,0,unknown,2.0,-176.0,52,blue collar,married,secondary,M
159,1160,no,yes,no,unknown,128.0,2,1,0,unknown,2.0,416.0,48,blue-collar,married,secondary,M
160,1161,no,yes,no,unknown,107.0,1,-2,0,unknown,2.0,460.0,48,services,married,unknown,F
161,1162,no,yes,no,unknown,181.0,1,1,0,unknown,2.0,108.0,39,technician,single,tertiary,F
162,1163,no,yes,no,unknown,303.0,2,1,0,unknown,2.0,442.0,47,services,single,secondary,M
163,1164,no,yes,no,unknown,558.0,5,1,0,unknown,2.0,186.0,40,blue-collar,married,secondary,F
164,1165,no,yes,no,unknown,270.0,1,1,0,unknown,2.0,258.0,45,technician,married,secondary,M
165,1166,no,yes,no,unknown,228.0,1,1,0,unknown,2.0,266.0,26,admin.,single,secondary,M
166,1167,no,yes,no,unknown,99.0,1,1,0,unknown,2.0,485.0,52,management,married,tertiary,M
167,1168,no,yes,no,unknown,240.0,1,1,0,unknown,2.0,395.0,54,technician,married,secondary,F
168,1169,no,no,no,unknown,673.0,2,1,0,unknown,1.0,356.0,54,admin.,married,tertiary,M
169,1170,no,no,no,unknown,233.0,3,1,0,unknown,2.0,156.0,50,blue-collar,married,primary,F
170,1171,no,yes,no,unknown,1056.0,1,1,0,unknown,2.0,387.0,35,blue-collar,married,secondary,M
171,1172,no,yes,yes,unknown,250.0,1,1,0,unknown,2.0,494.0,44,services,married,secondary,M
172,1173,no,yes,no,unknown,252.0,1,1,0,unknown,2.0,146.0,53,entrepreneur,married,unknown,F
173,1174,no,no,no,unknown,138.0,1,1,0,unknown,2.0,217.0,35,retired,single,primary,M
174,1175,no,yes,no,unknown,130.0,1,1,0,unknown,2.0,271.0,60,admin.,divorced,secondary,F
175,1176,no,yes,no,unknown,412.0,1,1,0,unknown,2.0,370.0,53,admin.,divorced,secondary,F
176,1177,no,yes,no,unknown,179.0,2,1,0,unknown,2.0,334.0,48,unemployed,married,secondary,M
177,1178,no,yes,no,unknown,19.0,2,1,0,unknown,2.0,219.0,34,technician,married,secondary,F
178,1179,no,yes,no,unknown,458.0,2,1,0,unknown,2.0,379.0,54,services,married,secondary,M
179,1180,no,yes,no,unknown,717.0,1,1,0,unknown,2.0,-171.0,51,management,married,secondary,M
180,1181,no,yes,no,unknown,313.0,1,1,0,unknown,2.0,258.0,31,services,married,tertiary,M
181,1182,no,yes,no,unknown,683.0,2,1,0,?,2.0,116.0,35,technician,divorced,secondary,M
182,1183,no,yes,no,unknown,1077.0,1,1,0,unknown,2.0,236.0,35,services,married,secondary,M
183,1184,no,yes,no,unknown,416.0,1,1,0,unknown,2.0,343.0,38,technician,married,secondary,M
184,1185,no,yes,no,unknown,146.0,2,1,0,unknown,2.0,482.0,36,admin.,married,tertiary,M
185,1186,no,yes,no,unknown,167.0,1,1,0,unknown,2.0,358.0,58,retired,married,primary,F
186,1187,no,yes,no,unknown,315.0,1,1,0,unknown,2.0,326.0,40,services,divorced,unknown,M
187,1188,no,no,no,unknown,140.0,1,1,0,unknown,2.0,128.0,54,management,married,secondary,M
188,1189,no,yes,yes,unknown,346.0,1,1,0,unknown,2.0,495.0,34,blue-collar,single,secondary,F
189,1190,no,yes,no,unknown,562.0,1,1,0,unknown,2.0,118.0,31,management,single,tertiary,M
190,1191,no,yes,no,unknown,172.0,1,1,0,unknown,2.0,397.0,51,retired,married,secondary,F
191,1192,no,yes,no,unknown,217.0,1,1,0,?,2.0,175.0,33,management,married,tertiary,F
192,1193,no,yes,no,unknown,,2,1,0,unknown,2.0,422.0,55,management,married,tertiary,M
193,1194,no,yes,no,unknown,67.0,1,1,0,unknown,2.0,184.0,42,admin.,married,secondary,F
194,1195,no,yes,no,unknown,291.0,1,1,0,unknown,2.0,249.0,34,blue-collar,married,secondary,M
195,1196,no,yes,no,unknown,309.0,2,1,0,unknown,2.0,307.0,33,blue-collar,single,secondary,F
196,1197,no,yes,no,unknown,248.0,1,1,0,unknown,2.0,239.0,38,services,married,secondary,F
197,1198,no,no,yes,unknown,98.0,1,1,0,unknown,2.0,408.0,50,technician,divorced,tertiary,M
198,1199,no,yes,no,unknown,256.0,1,1,0,unknown,2.0,458.0,43,management,married,tertiary,M
199,1200,no,yes,no,?,82.0,2,1,0,unknown,2.0,192.0,61,blue-collar,divorced,primary,M
200,1201,no,yes,no,?,577.0,1,1,0,unknown,2.0,253.0,47,admin.,married,secondary,M
201,1202,no,yes,no,unknown,286.0,1,1,0,unknown,2.0,303.0,48,self-employed,married,tertiary,F
202,1203,no,yes,no,unknown,477.0,1,1,0,unknown,2.0,259.0,44,blue-collar,married,secondary,M
203,1204,no,yes,no,unknown,611.0,2,1,0,unknown,2.0,184.0,35,student,single,unknown,F
204,1205,no,yes,no,unknown,471.0,1,1,0,unknown,2.0,367.0,35,services,married,secondary,M
205,1206,no,yes,no,unknown,381.0,2,1,0,?,2.0,173.0,50,services,married,secondary,F
206,1207,no,yes,yes,unknown,42.0,1,1,0,?,2.0,490.0,41,management,married,tertiary,F
207,1208,no,yes,no,unknown,251.0,1,1,0,unknown,2.0,272.0,41,management,married,tertiary,F
208,1209,no,yes,no,unknown,408.0,1,1,0,unknown,2.0,261.0,39,services,single,unknown,M
209,1210,no,yes,no,unknown,215.0,1,1,0,unknown,2.0,230.0,42,retired,married,secondary,M
210,1211,no,yes,no,unknown,287.0,1,1,0,unknown,2.0,159.0,38,blue-collar,married,secondary,F
211,1212,no,yes,no,?,216.0,2,1,0,unknown,2.0,367.0,53,retired,married,secondary,M
212,1213,no,no,no,unknown,366.0,2,1,0,unknown,2.0,410.0,59,housemaid,divorced,primary,M
213,1214,no,yes,no,unknown,210.0,1,1,0,unknown,2.0,115.0,36,services,married,secondary,F
214,1215,no,yes,no,unknown,288.0,1,1,0,unknown,2.0,206.0,54,blue-collar,married,primary,M
215,1216,no,yes,no,unknown,168.0,1,1,0,unknown,2.0,375.0,40,technician,married,tertiary,F
216,1217,no,no,no,unknown,338.0,2,1,0,unknown,2.0,125.0,47,unknown,married,unknown,F
217,1218,no,no,no,,410.0,3,1,0,unknown,2.0,397.0,53,unemployed,married,unknown,M
218,1219,no,no,no,unknown,177.0,1,1,0,unknown,2.0,338.0,46,housemaid,married,primary,M
219,1220,no,yes,yes,unknown,127.0,2,1,0,unknown,2.0,231.0,39,management,married,tertiary,M
220,1221,no,yes,no,unknown,357.0,1,1,0,unknown,2.0,423.0,40,unemployed,married,secondary,M
221,1222,no,yes,no,unknown,175.0,1,1,0,unknown,2.0,448.0,28,blue-collar,married,primary,M
222,1223,no,yes,no,unknown,300.0,1,1,0,unknown,2.0,251.0,35,entrepreneur,divorced,secondary,M
223,1224,no,no,yes,unknown,136.0,1,1,0,unknown,2.0,303.0,55,retired,married,secondary,F
224,1225,no,yes,no,unknown,1419.0,1,1,0,unknown,2.0,468.0,43,technician,divorced,unknown,M
225,1226,no,yes,no,unknown,125.0,2,1,0,unknown,2.0,163.0,48,blue-collar,married,primary,M
226,1227,no,yes,no,unknown,213.0,3,1,0,unknown,2.0,121.0,58,management,married,unknown,F
227,1228,no,yes,no,unknown,27.0,1,1,0,unknown,2.0,287.0,33,management,single,tertiary,M
228,1229,no,no,no,unknown,238.0,2,1,0,unknown,2.0,111.0,36,blue-collar,married,unknown,F
229,1230,no,yes,no,unknown,124.0,1,1,0,unknown,2.0,329.0,53,services,divorced,secondary,M
230,1231,no,yes,no,unknown,18.0,1,1,0,unknown,2.0,123.0,47,blue-collar,married,primary,M
231,1232,no,yes,no,unknown,730.0,2,1,0,unknown,2.0,272.0,31,services,married,secondary,M
232,1233,no,yes,no,unknown,746.0,2,1,0,unknown,2.0,384.0,57,entrepreneur,married,secondary,M
233,1234,no,no,no,unknown,121.0,1,1,0,unknown,2.0,101.0,53,blue-collar,married,unknown,M
234,1235,no,yes,no,unknown,247.0,1,1,0,unknown,2.0,317.0,55,blue-collar,married,primary,M
235,1236,no,yes,no,unknown,40.0,1,1,0,unknown,2.0,310.0,45,blue-collar,married,primary,M
236,1237,no,yes,no,unknown,181.0,2,1,0,unknown,2.0,263.0,53,admin.,divorced,secondary,F
237,1238,no,yes,no,unknown,79.0,1,1,0,unknown,2.0,383.0,37,blue-collar,married,primary,M
238,1239,no,yes,no,unknown,206.0,1,1,0,unknown,2.0,361.0,44,admin.,divorced,secondary,F
239,1240,no,yes,yes,unknown,389.0,1,1,0,unknown,2.0,404.0,49,blue-collar,divorced,primary,M
240,1241,no,yes,yes,unknown,127.0,1,1,0,unknown,2.0,493.0,46,technician,married,secondary,F
241,1242,no,yes,no,unknown,702.0,1,1,0,unknown,2.0,382.0,43,entrepreneur,married,unknown,M
242,1243,no,no,no,unknown,151.0,1,1,0,unknown,2.0,354.0,38,admin.,married,secondary,F
243,1244,no,yes,no,unknown,,1,1,0,unknown,2.0,439.0,43,technician,married,secondary,F
244,1245,no,yes,no,unknown,232.0,3,1,0,unknown,2.0,402.0,49,management,married,tertiary,F
245,1246,no,no,no,unknown,408.0,2,1,0,unknown,2.0,470.0,42,management,married,unknown,M
246,1247,no,yes,no,unknown,179.0,2,1,0,unknown,2.0,386.0,22,blue-collar,single,secondary,F
247,1248,no,yes,no,unknown,39.0,1,1,0,unknown,2.0,291.0,40,management,married,tertiary,M
248,1249,no,yes,no,unknown,282.0,1,1,0,unknown,2.0,481.0,39,blue-collar,married,secondary,M
249,1250,no,yes,no,unknown,714.0,2,1,0,unknown,2.0,408.0,51,services,married,secondary,F
250,1251,no,yes,no,unknown,50.0,1,1,0,unknown,2.0,170.0,49,admin.,married,secondary,M
251,1252,no,yes,yes,unknown,181.0,1,1,0,unknown,2.0,208.0,53,blue-collar,married,secondary,M
252,1253,no,yes,no,unknown,142.0,1,1,0,unknown,2.0,202.0,34,services,single,secondary,F
253,1254,no,yes,no,unknown,227.0,1,1,0,unknown,2.0,152.0,33,technician,divorced,secondary,M
254,1255,no,yes,no,unknown,119.0,1,-2,0,unknown,2.0,476.0,50,management,single,tertiary,F
255,1256,no,yes,no,unknown,361.0,1,1,0,unknown,2.0,171.0,39,blue-collar,married,primary,F
256,1257,no,yes,no,unknown,73.0,3,1,0,unknown,2.0,205.0,59,entrepreneur,divorced,secondary,F
257,1258,no,yes,no,unknown,67.0,2,1,0,unknown,2.0,488.0,30,technician,single,secondary,M
258,1259,no,yes,yes,unknown,350.0,1,1,0,unknown,2.0,104.0,36,services,married,secondary,F
259,1260,no,yes,no,unknown,332.0,2,1,0,unknown,2.0,309.0,40,blue-collar,married,secondary,M
260,1261,no,yes,no,unknown,611.0,2,1,0,unknown,2.0,358.0,53,blue-collar,married,secondary,F
261,1262,no,yes,no,unknown,113.0,2,1,0,unknown,2.0,229.0,34,management,single,tertiary,F
262,1263,no,yes,no,unknown,,1,1,0,unknown,2.0,436.0,37,technician,married,secondary,F
263,1264,no,yes,no,unknown,58.0,3,1,0,unknown,2.0,293.0,42,management,divorced,tertiary,M
264,1265,no,yes,no,unknown,151.0,1,1,0,unknown,2.0,464.0,41,entrepreneur,married,primary,M
265,1266,no,yes,no,unknown,89.0,2,1,0,unknown,2.0,151.0,30,student,single,tertiary,F
266,1267,no,yes,no,unknown,152.0,1,1,0,unknown,2.0,372.0,37,management,single,tertiary,F
267,1268,no,yes,no,unknown,611.0,2,1,0,unknown,2.0,222.0,39,admin.,divorced,secondary,M
268,1269,no,yes,yes,unknown,110.0,2,1,0,unknown,2.0,128.0,41,blue-collar,married,primary,F
269,1270,no,yes,no,?,463.0,1,1,0,unknown,2.0,324.0,40,blue-collar,married,primary,M
